,Unnamed: 0,Date,Time,Condition,last Condition
0,0,2022-11-01,8:00 PM,fair,Fair
1,1,2022-11-01,9:30 PM,fair,Fair
2,2,2022-11-01,12:30 AM,fair,Fair
3,3,2022-11-01,2:30 AM,light rain,Light Rain Shower
4,4,2022-11-01,3:00 AM,cloudy,Cloudy
5,5,2022-11-01,3:30 AM,mostly cloudy,Mostly Cloudy
6,6,2022-11-01,3:30 AM,partly cloudy,Partly Cloudy
7,7,2022-11-01,4:00 AM,fair,Fair
8,8,2022-11-01,4:30 AM,fair,Fair
9,9,2022-11-01,5:00 AM,fair,Fair
10,10,2022-11-01,5:30 AM,fair,Fair
11,11,2022-11-01,6:00 AM,fair,Fair
12,12,2022-11-01,6:30 AM,fair,Fair
13,13,2022-11-01,7:00 AM,fair,Fair
14,14,2022-11-01,7:30 AM,fair,Fair
15,15,2022-11-01,8:00 AM,fair,Fair
16,16,2022-11-01,8:30 AM,fair,Fair
17,17,2022-11-01,9:00 AM,fair,Fair
18,18,2022-11-01,9:30 AM,fair,Fair
19,19,2022-11-01,10:00 AM,fair,Fair
20,20,2022-11-01,10:30 AM,partly cloudy,Partly Cloudy
21,21,2022-11-01,11:00 AM,partly cloudy,Partly Cloudy
22,22,2022-11-01,11:30 AM,partly cloudy,Partly Cloudy
23,23,2022-11-01,12:00 PM,light rain,Light Rain Shower
24,24,2022-11-01,12:30 PM,partly cloudy,Partly Cloudy
25,25,2022-11-01,1:00 PM,partly cloudy,Partly Cloudy / Windy
26,26,2022-11-01,1:30 PM,mostly cloudy,Mostly Cloudy / Windy
27,27,2022-11-01,2:00 PM,light rain,Light Rain Shower / Windy
28,28,2022-11-01,2:30 PM,mostly cloudy,Mostly Cloudy
29,29,2022-11-01,3:00 PM,mostly cloudy,Mostly Cloudy
30,30,2022-11-01,3:30 PM,mostly cloudy,Mostly Cloudy
31,31,2022-11-01,4:00 PM,mostly cloudy,Mostly Cloudy
32,32,2022-11-01,4:30 PM,mostly cloudy,Mostly Cloudy
33,33,2022-11-01,5:00 PM,mostly cloudy,Mostly Cloudy
34,34,2022-11-01,5:30 PM,partly cloudy,Partly Cloudy
35,35,2022-11-01,6:00 PM,mostly cloudy,Mostly Cloudy
36,36,2022-11-01,6:30 PM,mostly cloudy,Mostly Cloudy
37,37,2022-11-01,7:00 PM,mostly cloudy,Mostly Cloudy
38,38,2022-11-01,7:30 PM,light rain,Light Rain
39,39,2022-11-02,8:00 PM,light rain,Light Rain
40,40,2022-11-02,8:30 PM,light rain,Light Rain Shower / Windy
41,41,2022-11-02,9:30 PM,mostly cloudy,Mostly Cloudy
42,42,2022-11-02,10:00 PM,mostly cloudy,Mostly Cloudy
43,43,2022-11-02,10:30 PM,light rain,Light Rain
44,44,2022-11-02,11:00 PM,light rain,Light Rain
45,45,2022-11-02,12:30 AM,mostly cloudy,Mostly Cloudy
46,46,2022-11-02,1:00 AM,mostly cloudy,Mostly Cloudy
47,47,2022-11-02,1:30 AM,mostly cloudy,Mostly Cloudy
48,48,2022-11-02,2:00 AM,mostly cloudy,Mostly Cloudy
49,49,2022-11-02,2:30 AM,mostly cloudy,Mostly Cloudy
50,50,2022-11-02,3:00 AM,mostly cloudy,Mostly Cloudy
51,51,2022-11-02,3:30 AM,mostly cloudy,Mostly Cloudy
52,52,2022-11-02,4:00 AM,mostly cloudy,Mostly Cloudy
53,53,2022-11-02,3:30 AM,mostly cloudy,Mostly Cloudy
54,54,2022-11-02,4:00 AM,mostly cloudy,Mostly Cloudy
55,55,2022-11-02,4:30 AM,mostly cloudy,Mostly Cloudy
56,56,2022-11-02,5:00 AM,mostly cloudy,Mostly Cloudy
57,57,2022-11-02,5:30 AM,mostly cloudy,Mostly Cloudy
58,58,2022-11-02,6:00 AM,mostly cloudy,Mostly Cloudy
59,59,2022-11-02,6:30 AM,mostly cloudy,Mostly Cloudy
60,60,2022-11-02,7:00 AM,cloudy,Cloudy
61,61,2022-11-02,7:30 AM,cloudy,Cloudy
62,62,2022-11-02,8:00 AM,light rain,Light Drizzle
63,63,2022-11-02,8:30 AM,mostly cloudy,Mostly Cloudy
64,64,2022-11-02,9:00 AM,light rain,Light Drizzle
65,65,2022-11-02,9:30 AM,mostly cloudy,Mostly Cloudy
66,66,2022-11-02,10:00 AM,cloudy,Cloudy
67,67,2022-11-02,10:30 AM,cloudy,Cloudy
68,68,2022-11-02,11:00 AM,cloudy,Cloudy
69,69,2022-11-02,11:30 AM,cloudy,Cloudy
70,70,2022-11-02,12:00 PM,cloudy,Cloudy
71,71,2022-11-02,12:30 PM,cloudy,Cloudy
72,72,2022-11-02,1:00 PM,cloudy,Cloudy
73,73,2022-11-02,1:30 PM,cloudy,Cloudy
74,74,2022-11-02,2:00 PM,mostly cloudy,Mostly Cloudy
75,75,2022-11-02,2:30 PM,mostly cloudy,Mostly Cloudy
76,76,2022-11-02,3:00 PM,cloudy,Cloudy
77,77,2022-11-02,3:30 PM,cloudy,Cloudy
78,78,2022-11-02,4:00 PM,cloudy,Cloudy
79,79,2022-11-02,4:30 PM,cloudy,Cloudy
80,80,2022-11-02,5:00 PM,cloudy,Cloudy
81,81,2022-11-02,5:30 PM,cloudy,Cloudy
82,82,2022-11-02,6:00 PM,light rain,Light Drizzle
83,83,2022-11-02,6:30 PM,light rain,Light Drizzle
84,84,2022-11-02,6:35 PM,light rain,Light Rain
85,85,2022-11-02,7:00 PM,light rain,Light Rain
86,86,2022-11-02,7:30 PM,light rain,Light Rain
87,87,2022-11-03,8:00 PM,cloudy,Cloudy
88,88,2022-11-03,8:30 PM,cloudy,Cloudy
89,89,2022-11-03,9:00 PM,cloudy,Cloudy
90,90,2022-11-03,9:30 PM,cloudy,Cloudy
91,91,2022-11-03,10:00 PM,cloudy,Cloudy
92,92,2022-11-03,10:30 PM,cloudy,Cloudy
93,93,2022-11-03,10:50 PM,light rain,Light Rain
94,94,2022-11-03,11:00 PM,light rain,Light Rain
95,95,2022-11-03,11:20 PM,light rain,Light Rain
96,96,2022-11-03,12:30 AM,light rain,Light Rain
97,97,2022-11-03,12:50 AM,light rain,Light Drizzle
98,98,2022-11-03,1:00 AM,light rain,Light Drizzle
99,99,2022-11-03,1:20 AM,light rain,Light Drizzle
100,100,2022-11-03,1:30 AM,light rain,Light Drizzle
101,101,2022-11-03,1:50 AM,rain,Rain
